direction,records,records_loosened,records_tightened,published_name,gbif_species,old_taxon_id,old_taicol_id,old_scientific_name,old_common_name_zh,new_taxon_id,new_taicol_id,new_scientific_name,new_common_name_zh,precision_before,precision_after,resolved_via,note
unchanged,1,0,0,Tarsiger indicus formosanus,Tarsiger indicus,86329,t0086329,Tarsiger formosanus,臺灣白眉林鴝,86329,t0086329,Tarsiger formosanus,臺灣白眉林鴝,coarse_10km 1,coarse_10km 1,crosswalk,
unchanged,1,0,0,Anthus hodgsoni hodgsoni,Anthus hodgsoni,85261,t0085261,Anthus hodgsoni hodgsoni,樹鷚,85261,t0085261,Anthus hodgsoni hodgsoni,樹鷚,exact 1,exact 1,published,
unchanged,1,0,0,Saxicola maurus stejnegeri,Saxicola maurus,32643,t0032643,Saxicola stejnegeri,黑喉鴝,32643,t0032643,Saxicola stejnegeri,黑喉鴝,exact 1,exact 1,crosswalk,
unchanged,1,0,0,Pyrrhula nipalensis uchidae,Pyrrhula nipalensis,100976,t0100976,Pyrrhula nipalensis uchidai,褐鷽,100976,t0100976,Pyrrhula nipalensis uchidai,褐鷽,exact 1,exact 1,crosswalk,
unchanged,1,0,0,Prinia crinigera striata,Prinia crinigera,,,,,,,,,coarse_10km 1,coarse_10km 1,none,
unchanged,1,0,0,Porzana paykullii,Porzana paykullii,49086,t0049086,Zapornia paykullii,斑脇秧雞,49086,t0049086,Zapornia paykullii,斑脇秧雞,exact 1,exact 1,crosswalk,
unresolved,350,0,0,Aves,,,,,,,,,,coarse_10km 350,coarse_10km 350,,not identified to species
unresolved,340,0,0,Anura,,,,,,,,,,coarse_10km 340,coarse_10km 340,,not identified to species
unresolved,275,0,0,Ranidae,,,,,,,,,,coarse_10km 275,coarse_10km 275,,not identified to species
unresolved,243,0,0,Squamata,,,,,,,,,,coarse_10km 243,coarse_10km 243,,not identified to species
unresolved,219,0,0,Muridae,,,,,,,,,,coarse_10km 219,coarse_10km 219,,not identified to species
unresolved,190,0,0,Gekkonidae,,,,,,,,,,coarse_10km 190,coarse_10km 190,,not identified to species
unresolved,180,0,0,"Rattus Fischer, 1803",,,,,,,,,,coarse_10km 180,coarse_10km 180,,not identified to species
unresolved,176,0,0,Chordata,,,,,,,,,,coarse_10km 176,coarse_10km 176,,not identified to species
unresolved,165,0,0,Serpentes,,,,,,,,,,coarse_10km 165,coarse_10km 165,,not identified to species
unresolved,145,0,0,Columbidae,,,,,,,,,,coarse_10km 145,coarse_10km 145,,not identified to species
unresolved,115,0,0,Hirundinidae,,,,,,,,,,coarse_10km 115,coarse_10km 115,,not identified to species
unresolved,108,0,0,"Japalura Gray, 1853",,,,,,,,,,coarse_10km 108,coarse_10km 108,,not identified to species
unresolved,88,0,0,Colubridae,,,,,,,,,,coarse_10km 88,coarse_10km 88,,not identified to species
unresolved,88,0,0,Scincidae,,,,,,,,,,coarse_10km 88,coarse_10km 88,,not identified to species
unresolved,85,0,0,"Geothelphusa Stimpson, 1858",,,,,,,,,,coarse_10km 85,coarse_10km 85,,not identified to species
unresolved,75,0,0,Buergeria japonica,,101610,t0101610,Buergeria japonica,日本樹蛙,,,,,exact 75,exact 75,,"the published name matches Buergeria japonica, which TaiCOL does not record in Taiwan. TaiCOL cannot settle it either: taicol returned 2 taxa — ambiguous"
unresolved,73,0,0,"Crocidura Wagler, 1832",,,,,,,,,,coarse_10km 73,coarse_10km 73,,not identified to species
unresolved,70,0,0,Rhacophoridae,,,,,,,,,,coarse_10km 70,coarse_10km 70,,not identified to species
unresolved,55,0,0,Mammalia,,,,,,,,,,coarse_10km 55,coarse_10km 55,,not identified to species
unresolved,53,0,0,Vespertilionidae,,,,,,,,,,coarse_10km 53,coarse_10km 53,,not identified to species
unresolved,45,0,0,Chiroptera,,,,,,,,,,coarse_10km 45,coarse_10km 45,,not identified to species
unresolved,44,0,0,Sturnidae,,,,,,,,,,coarse_10km 44,coarse_10km 44,,not identified to species
